"Name","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_SPELL_INFO_EVO_ARCHERS","These Archers have been specially trained by Archer Queen herself as her personal sharpshooters. They deal more Damage to far away enemies with Power Shot!","Ces archères ont été entraînées par la Reine des archères en personne pour se battre à ses côtés. Elles infligent plus de dégâts aux ennemis éloignés avec un tir renforcé !","Diese Bogenschützen wurden von der Bogenschützen-Königin höchstpersönlich ausgebildet. Mit ihrem Kraftschuss verursachen sie erhöhten Schaden an weit entfernten Gegnern!","La mismísima reina arquera ha entrenado especialmente a estas arqueras para que sean sus francotiradoras personales. Infligen más daño a los enemigos que se encuentren lejos con su superdisparo.","Questi arcieri sono stati addestrati dalla loro regina per difenderla da lontano. Causano più danni degli arcieri standard ai nemici lontani grazie al loro tiro potente.","Deze boogschutters werden persoonlijk getraind door de boogschutterskoningin. Met hun krachtschot brengen ze meer schade toe aan vijanden op een afstand!","Disse bueskytterne har fått spesialopplæring fra selve bueskytterdronningen som hennes personlige skarpskyttere. Med kraftskuddet sitt gjør de mer skade på fiender langt unna!","Bu Okçular, bizzat Okçu Kraliçe tarafından kişisel keskin nişancıları olarak eğitildi. Güçlü Atış ile uzaktaki düşmanlara daha fazla hasar verirler!","アーチャークイーンが自らの忠臣として鍛え上げたアーチャーの精鋭です。パワーショットで遠くの敵に追加ダメージを与えます！","아처 퀸이 몸소 훈련시킨 아처 특공대입니다. 파워 샷은 멀리 있는 적에게 더 큰 피해를 줍니다!","Королева лучниц лично обучала этих лучниц для своей гвардии. Чем дальше находится враг, тем больше урона наносит их усиленный выстрел!","تلقت راميات السهام هذه تدريبًا خاصًا على يد الملكة رامية السهام نفسها باعتبارهن قناصات شخصيات لها. يلحقن ضررًا اكثر بالأعداء الموجودين على مسافة بعيدة باستخدام سهم القوة.","Arqueiras treinadas diretamente pela Rainha Arqueira para compor seu esquadrão de elite. Elas causam mais dano a inimigos distantes com o superdisparo!","这些弓箭手均由弓箭女皇亲自训练，是她的贴身神射手。她们的劲射会对远距离敌人造成更多伤害！","這些弓箭手均由弓箭女皇親自訓練，是她的貼身神射手。她們的勁射會對遠距離敵人造成更多傷害！","ملکه کماندار شخصاً آموزش‌های ویژه به این کماندارها داده تا کماندارهای ماهر شخصی‌ش باشن. اونا با «تیر قدرتمند» به دشمنایی که دورترن آسیب بیشتر وارد می‌کنن!","Para Pemanah ini telah dilatih secara khusus oleh Ratu Pemanah untuk menjadi penembak jitu. Mereka mengerahkan kerusakan lebih besar pada lawan yang jauh dengan Panah Kuat!","Para Pemanah ini telah dilatih khas oleh Permaisuri Pemanah untuk menjadi penembak tepat peribadinya. Mereka melakukan kerosakan lebih tinggi terhadap musuh yang jauh dengan Panahan Kuat!","พลธนูเหล่านี้ได้รับการฝึกปรือจากราชินีธนูเองโดยเฉพาะเพื่อรับหน้าที่เป็นองครักษ์ยิงแม่นส่วนพระองค์ พวกเธอจะสร้างความเสียหายเพิ่มมากขึ้นด้วยศรพุ่งทะลวงเมื่ออยู่ห่างจากศัตรู!","Jousikuningatar on kouluttanut nämä jousiampujat henkilökohtaisiksi tarkka-ampujikseen. He aiheuttavat enemmän tuhoa kaukana oleville vihollisille voimanuolilla.","Các Cung thủ này đã được Nữ hoàng Cung thủ đích thân huấn luyện để trở thành hộ vệ riêng của Nữ hoàng. Với Mũi tên uy lực, họ sẽ gây ra nhiều sát thương hơn lên những kẻ địch ở xa!"
"TID_SPELL_INFO_EVO_BOMBER","Bomber has discovered the art of bomb bouncing. It's like skipping stones, but much more exciting.\n\nWith his new skill, Bomber will be able to hit multiple targets in a row with one attack!","Les bombardiers ont découvert l'art des bombes rebondissantes. C'est comme des ricochets, mais avec plus d'explosions.\nAvec leur nouvelle compétence, les bombardiers peuvent toucher plusieurs cibles à la suite en une seule attaque !","Der Bomber hat die Kunst des Bombenhüpfens entdeckt. Das funktioniert wie mit Steinen, ist aber weitaus spannender.\nMit seinem neuen Talent kann der Bomber mit einer einzigen Attacke mehrere Ziele hintereinander treffen!","El bombardero ha descubierto cómo conseguir que las bombas reboten. Es como hacer rebotar piedras en el agua, pero mucho más emocionante.\nCon esta nueva habilidad, ¡podrá impactar en múltiples objetivos consecutivos con un solo ataque!","Il bombarolo ha scoperto l'arte di far rimbalzare le bombe, un po' come si fa con i sassolini sull'acqua, anche se molto più divertente.\nQuesta nuova abilità gli permette di colpire più bersagli di fila con un solo attacco!","De bommengooier heeft ontdekt hoe hij bommen kan laten stuiteren. Het is net als stenen op water ketsen, maar dan spannender.\nDe geëvolueerde bommengooier kan meerdere doelwitten achter elkaar raken met één aanval!","Bomberen har lært seg kunsten å sprette bomber. Det er som å kaste fiskesprett, bare mye morsommere.\nMed den nye ferdigheten kan bomberen treffe flere mål på rad med ett angrep!","Bombacı, bomba sektirme sanatını keşfetmiş görünüyor. Tıpkı taş sektirmek gibi ama çok daha heyecan verici...\nYeni yeteneği sayesinde artık tek bir saldırıda birden fazla hedefi vurabilecek!","ボンバーが、爆弾を地面にバウンドさせる新技を編み出しました。石の水切りに似ていますが、もっと奥が深いようです。\n1つの爆弾で直線上の敵をまとめて攻撃します！","폭탄병이 폭탄을 튕기는 신기술을 발견했습니다. 물수제비와 비슷하지만 그보다 훨씬 더 흥미진진합니다.\n이 새로운 기술을 통해 폭탄병은 한 번의 공격으로 직선상의 여러 목표물에 피해를 줄 수 있습니다!","Подрывник научился бросать бомбы так, чтобы они отскакивали. Это почти как пускать «блинчики» по воде, но намного веселее.\nБлагодаря этому новому навыку одна атака подрывника теперь может поразить несколько целей!","اكتشف المفجر فن القنابل النطاطة؛ إنها أشبه بحجارة تقفز لكنها أكثر إثارة.\nبفضل هذه المهارة الجديدة سيتمكن المفجر من ضرب أهداف متعددة على التوالي بهجمة واحدة.","O Bombardeiro descobriu a arte das bombas quicantes. É como jogar pedras no lago, mas muito mais empolgante!\nCom essa habilidade nova, o Bombardeiro poderá atingir diversos alvos com um só ataque!","炸弹兵掌握了炸弹弹跳的艺术。这就跟打水漂一样，但要刺激多了。\n这个新技能可以让炸弹兵的单次攻击连续击中多个目标！","炸彈兵掌握了讓炸彈彈跳的技巧，其實就跟打水漂差不多，但是非常刺激。\n這個新技能讓炸彈兵的單次攻擊可以連續擊中多個目標！","بمب‌گذار هنر جهش بمب رو کشف کرده. مثل جهش سنگ از سطح آب می‌مونه، اما خیلی هیجان‌انگیزتر.\nبمب‌گذار با این مهارت جدیدش می‌تونه به چند تا هدفی که تو یه ردیفن با یه حمله ضربه بزنه!","Pengebom telah menemukan seni pengeboman terbaru: Bom Pantul. Cara kerjanya mirip dengan batu yang memantul saat dilemparkan ke air, hanya saja jauh lebih keren\nDengan kemampuan baru ini, Pengebom dapat mengenai beberapa target dalam satu garis lurus hanya dengan satu serangan!","Pengebom telah menemui cara melantun bom. Ia seperti main encat, cuma ini lebih mengujakan.\nDengan kemahiran baharu ini, Pengebom kini boleh mengenai berbilang sasaran dalam satu baris dengan satu serangan!","มือระเบิดค้นพบศาสตร์แห่งระเบิดเด้งดึ๋ง ก็เหมือนเวลาขว้างหินกระดอนผิวน้ำ แต่งานนี้มันส์กว่าเยอะ\nด้วยทักษะใหม่นี้ มือระเบิดจึงสามารถโจมตีเป้าหมายต่อเนื่องได้หลายเป้าในการโยนเพียงครั้งเดียว!","Pommittaja on hoksannut, miten pommit saa pomppimaan. Se on vähän kuin heittelisi vesileipiä, mutta jännempää.\nUuden taitonsa avulla pommittaja voi osua moneen kohteeseen peräkkäin yhdellä hyökkäyksellä!","Bom thủ đã khám phá ra cách ném khiến bom nảy lên giống như khi chơi trò ném đá trên mặt nước, nhưng thú vị hơn nhiều.\nVới kỹ năng mới, Bom thủ có thể ném trúng nhiều mục tiêu liên tiếp chỉ trong 1 lần tấn công!"
"TID_SPELL_INFO_EVO_VALKYRIE","If you thought her battle cry was scary...wait until you see her new axe!\n\nEvolved Valkyrie draws all enemies towards her with each swing.","Si son cri de ralliement vous faisait déjà peur, vous n'êtes pas prêts pour sa nouvelle hache !\n\nLa valkyrie évoluée attire tous les ennemis vers elle à chaque attaque.","Wenn du Angst vor ihrem Kampfschrei hast, dann warte mal, bis du ihre neue Axt siehst!\n\nDie entwickelte Walküre zieht ihre Gegner mit jedem Axtschwung näher zu sich.","Si pensabas que su grito de batalla daba miedo, ¡verás su nueva hacha!\n\nLa valquiria evolucionada atrae a todos los enemigos hacia ella cada vez que la blande.","Se pensi che il suo grido di battaglia faccia paura... aspetta di vedere la sua nuova ascia!\n\nLa valchiria evoluta attira verso di sé i nemici con ogni fendente.","Als je haar gevechtsschreeuw al angstaanjagend vond... wacht dan maar tot je haar nieuwe bijl ziet!\n\nDe geëvolueerde valkyrie trekt vijanden naar zich toe met elke zwaai van haar bijl.","Hvis du trodde kampropet hennes var nifst ... Vent til du får se den nye øksen hennes!\n\nEn utviklet valkyrje trekker alle fiendene til seg for hvert sving.","Savaş çığlığının korkunç olduğunu düşünüyorsan bir de yeni baltasına bak!\n\nEvrimleşmiş Valkür, baltasını her savurduğunda düşmanları yakınına çekiyor.","甲高い雄叫びくらいで気圧されていてはいけません... パワーアップした斧が、恐怖の旋風を巻き起こします！\n\n限界突破したバルキリーは、攻撃するたびに敵を自分に引き寄せます。","고함을 지르며 전장을 공포에 떨게 하는 발키리가 새 도끼와 함께 더욱 무시무시해졌습니다!\n\n진화한 발키리는 도끼를 휘두를 때마다 모든 적을 자신 쪽으로 끌어당깁니다.","Боевой крик у нее страшный? Да, но топор еще страшнее!\n\nЭволюционировавшая валькирия притягивает к себе врагов с каждым взмахом топора.","إذا كنت تعتقد أن صرخة الحرب الخاصة بها مخيفة...فانتظر حتى ترى فأسها الجديد!\n\nتسحب فالكيري المتطورة جميع الأعداء نحوها مع كل ضربة.","Se você achava o grito de guerra dela assustador, espere até ver o novo machado!\n\nA Valquíria evoluída puxa os inimigos para perto com cada ataque.","如果你觉得她的战斗呐喊很吓人......那她的新斧头一定会让你大惊失色！\n\n觉醒瓦基丽武神每次挥舞斧头，都会将所有敌人拉向自己。","如果你覺得她的戰吼很嚇人......那她的新斧頭一定會讓你大驚失色！\n\n進化瓦基麗武神每次揮舞斧頭，都會將所有敵人拉向自己。","اگه فکر کردی فریاد اون موقع نبرد ترسناک بود...صبر کن تا تبر جدیدش رو ببینی!\n\nوالکری تکامل‌یافته با هر تابی که به تبرش می‌ده همه دشمنا رو به سمت خودش می‌کشه.","Menghadapi Valkyrie sebelum berevolusi saja sudah membuat kewalahan, apalagi setelah berevolusi!\n\nDengan kapak baru, Valkyrie versi Evolusi akan menarik semua lawan mendekat di tiap ayunan.","Laungan pertempuran dia menakutkan? Kapak baharunya lagi dahsyat!\n\nSetiap ayunan kapak Valkyrie evolusi akan menarik semua musuh ke arahnya.","หากท่านคิดว่าเสียงคำรามของเธอยามรบนั้นน่ากลัวแล้ว... รอเห็นเธอพร้อมขวานด้ามใหม่เสียก่อน!\n\nวัลคีรีที่วิวัฒนาการแล้วจะดึงศัตรูเข้ามาหาเธอทุกครั้งที่เหวี่ยงขวาน","Jos valkyrian taisteluhuuto sai veresi hyytymään, niin odotahan, kun näet hänen uuden kirveensä!\n\nKehittynyt valkyria vetää vihollisia itseään kohti jokaisella kirveen heilautuksella.","Nếu bạn cho rằng tiếng hét khi xung trận của Valkyrie thật đáng sợ... hãy đợi đến khi bạn nhìn thấy chiếc rìu mới của cô ta!\n\nMỗi lần vung rìu, Valkyrie tiến hóa sẽ kéo tất cả kẻ địch về phía mình."
"TID_SPELL_INFO_EVO_WALLBREAKERS","Who let Wall Breakers into the gunpowder stores? They've run off with more explosives!\n\nIt's double trouble with this Evolution as they continue their attack on foot if their barrel is destroyed!","Qui a laissé les sapeurs se servir au magasin de poudre ? Ils ont chapardé encore plus d'explosifs !\nCette évolution est plus dangereuse, car les sapeurs continuent d'attaquer à pied après avoir touché leur première cible !","Wer hat die Mauerbrecher ins Pulverlager gelassen? Sie haben sich noch mehr Sprengstoff geschnappt!\nDiese Entwicklung macht sie doppelt gefährlich, da sie weiter zu Fuß angreifen, nachdem sie das erste Ziel getroffen haben!","¿Pero quién ha dejado que los rompemuros entren en la tienda de pólvora? ¡Han salido corriendo con más explosivos!\nCon esta evolución tendrás el doble de diversión, ya que siguen atacando tras alcanzar a su primer objetivo.","Chi ha fatto entrare gli spaccamuro nelle polveriere?! Si sono portati via tutto, neanche fosse capodanno!\nGli spaccamuro evoluti sono una doppia minaccia, perché possono continuare il loro attacco a piedi, dopo aver colpito il loro primo bersaglio!","Wie liet de muurbrekers in het buskruitmagazijn? Nu zijn ze nog explosiever!\nDe geëvolueerde muurbrekers zetten hun aanval te voet voort nadat ze hun eerste doelwit raken!","Hvem slapp murbrekkerne inn i kruttbutikken? De har stukket av med mer sprengstoff!\nMed denne evolusjonen blir det dobbelt opp med trøbbel, siden de fortsetter angrepet til fots etter å ha truffet det første målet!","Duvar Yıkıcıları barut deposuna kim saldı? Patlayıcıları çalıp topuklamışlar!\nEvrimleşmiş halleri belayı ikiye katlıyor; ilk hedeflerini vurduktan sonra saldırılarına yaya olarak devam ediyorlar!","ウォールブレイカーに火薬庫の場所を教えたのは誰でしょう？さらなる爆発物を持ち出して、アリーナを混乱に陥れています！\n限界突破ウォールブレイカーは、最初のターゲットに突撃した後も、地上に降りて進撃します！","해골 돌격병이 화약고에서 폭탄을 더 많이 챙긴 모양입니다!\n진화 해골 돌격병은 첫 번째 목표물을 맞춘 후에도 도보로 공격을 계속합니다. 상대하기가 훨씬 더 골치 아프겠네요...","Кто пустил стенобоев на склад с порохом? Они утащили гору взрывчатки!\nЭволюционировавшие стенобои продолжают атаку даже после того, как взорвут свою первую цель!","من فتح مخازن البارود لمدمري الجدران؟ لقد هربا ومعهما مزيد من المتفجرات.\nسيخلق هذا التطوّر مشكلات أكبر حيث سيواصل مدمرا الجدران الهجوم بعد إصابة هدفهما الأول.","Quem deixou os Destruidores de Muros entrarem numa loja de pólvora? Eles saíram ainda mais em polvorosa!\nÉ confusão em dobro com essa evolução, pois agora eles continuam atacando a pé depois de detonarem o barril no primeiro alvo.","是谁让攻城炸弹人进入火药库的？他们带着更多炸药跑了！\n这张卡牌觉醒后会带来双重麻烦，因为他们在击中第一个目标后，会徒步前进，继续发起下一次攻击！","是誰讓攻城炸彈人進入火藥庫的？他們帶著更多炸藥跑掉了！\n這張卡牌進化後帶來的麻煩加倍，因為他們在擊中第一個目標後，會徒步前進，繼續攻擊！","کی این دیوارشکن‌ها رو به باروت‌فروشی راه داده؟ مواد منفجره بیشتری برداشتن و در رفتن!\nبا این «تکامل کارت»، دردسر دوبرابر شده، چون اونا بعد از ضربه زدن به هدف اولشون سرپا می‌مونن و به حمله ادامه می‌دن!","Peremuk Tembok berhasil membobol gudang mesiu dan membawa kabur banyak bahan peledak!\nDengan kekacauan yang berlipat ganda, Peremuk Tembok versi Evolusi akan tetap berdiri di atas dua kaki dan menyerang setelah mengenai target pertama!","Siapa yang benarkan Pemecah Benteng masuk ke kedai serbuk letupan? Mereka telah melarikan diri dengan lebih bahan letupan!\nEvolusi ini meneruskan serangan mereka selepas mengenai sasaran pertama. Masalah berganda ni!","ใครปล่อยนักระเบิดกำแพงเข้าไปในร้านขายดินปืนกันนะ? ตอนนี้พวกมันเลยมีระเบิดเยอะขึ้นกว่าเดิม!\nคู่หูจอมป่วนจะโกลาหลยิ่งกว่าเดิมด้วยวิวัฒนาการนี้ เพราะพวกมันจะวิ่งไปโจมตีต่อแม้จัดการเป้าหมายแรกไปแล้วก็ตาม!","Kuka päästi muurinmurtajat ruutivarastoon? Nyt niillä on enemmän paukkuja kuin koskaan ennen!\nTämä evoluutio aiheuttaa tuplasti harmia, sillä osuttuaan ensimmäiseen kohteeseensa muurinmurtajat jatkavat hyökkäystään.","Ai đã để cho Công thành Binh vào kho thuốc súng vậy? Bọn chúng đã chạy trốn và đem theo nhiều thuốc nổ hơn!\nBinh lính tiến hóa này sẽ mang đến gấp đôi rắc rối cho kẻ địch vì sau khi đánh trúng mục tiêu đầu tiên, chúng vẫn chạy lên phía trước và tiếp tục đợt tấn công của mình!"
"TID_SUPPORT_CARD_CANNONEER","Cannoneer","Canonnier","Kanonier","Cañonero","Cannoniere","Kanonnier","Kanonér","Topçu","ブラスター","대포 사수","Канонир","المدفعي","Canhoneiro","炮兵","炮兵","توپچی","Penembak Meriam","Penembak Meriam","พลปืนใหญ่","Tykkimies","Pháo binh"
"TID_SUPPORT_CARD_INFO_CANNONEER","Slow but powerful. What could be better than a giant cannon on your Tower?","Lent mais puissant. Qu'y a-t-il de mieux qu'un méga canon pour défendre votre tour ?","Langsam, aber stark. Was könnte besser sein als eine Riesenkanone auf deinem Turm?","Lento pero potente. ¿Qué hay mejor que un cañón gigante para la torre?","Lento ma potente. Quale migliore difesa di un cannone gigante per la tua torre?","Traag maar sterk. Wat kan er beter zijn dan een gigantisch kanon boven op je toren?","Treg, men kraftig. Hva er vel bedre enn en kjempekanon på tårnet ditt?","Yavaş ancak güçlü. Kulede dev bir top olmasından daha iyi ne olabilir?","速度は遅いながらも強力な砲弾を撃ち出します。タワーに巨大な大砲を搭載するアイデアを、なぜ今まで思い付かなかったのでしょうか？","느리지만 강력한 포환을 발사합니다. 거대한 대포를 탑재한 타워라니, 이보다 더 좋을 수 있을까요?","Медленный, но мощный. Что может быть лучше огромной пушки на башне?","بطئ لكن قوي. ما الأفضل من مدفع عملاق على برجك؟","Lento, mas poderoso. O que poderia ser melhor do que um canhão gigante na sua torre?","速度慢，但威力大。在皇家塔上安装一门巨炮，还有比这更酷的吗？","射速緩慢但威力強大。在皇家塔上安裝一門巨炮，還有什麼比這更酷的嗎？","کُند ولی قدرتمند. چی می‌تونه بهتر از یه توپ غول‌آسا روی برج شما باشه؟","Lambat tapi dahsyat. Senjata apa lagi yang lebih ampuh untuk melindungi Benteng daripada meriam?","Perlahan tetapi berkuasa. Apakah yang lebih baik daripada meriam besar di menara anda?","ช้าแต่ทรงพลัง จะมีอะไรดีไปกว่าปืนใหญ่กระบอกโตบนหอคอยของท่าน?","Hidas mutta voimakas. Mikä olisikaan parempaa kuin jättimäinen tykki tornissasi?","Tuy chậm nhưng hỏa lực rất mạnh. Đặt một khấu đại bác khổng lồ trên tòa Tháp là thích hợp nhất."
"TID_VALKEVO_TORNADO_DURATION","Tornado duration","Durée de la tornade","Tornadodauer","Duración del tornado","Durata del tornado","Tornadoduur","Tornadovarighet","Kasırga süresi","トルネードの効果時間","토네이도 지속 시간","Длительность торнадо","مدة الإعصار","Duração do tornado","飓风持续时间","旋風持續時間","مدت گردباد","Durasi Tornado","Tempoh tornado","ระยะเวลาทอร์นาโด","Tornadon kesto","Thời lượng Lốc xoáy"
"TID_VALKEVO_TORNADO_DAMAGE","Tornado Damage","Dégâts de la tornade","Tornadoschaden","Daño del tornado","Danni del tornado","Tornadoschade","Tornadoskade","Kasırga hasarı","トルネードのダメージ","토네이도 피해량","Урон от торнадо","ضرر الإعصار","Dano do tornado","飓风伤害","旋風傷害","آسیب گردباد","Kerusakan Tornado","Kerosakan tornado","ความเสียหายทอร์นาโด","Tornadon tuhovoima","Sát thương Lốc xoáy"
"TID_VALKEVO_TORNADO_RADIUS","Tornado radius","Rayon de la tornade","Tornadoradius","Radio del tornado","Raggio del tornado","Tornado-omtrek","Tornadoradius","Kasırga alanı","トルネードの範囲","토네이도 반경","Радиус торнадо","مدى الإعصار","Alcance do tornado","飓风范围","旋風範圍","شعاع گردباد","Radius Tornado","Radius tornado","รัศมีทอร์นาโด","Tornadon vaikutusalue","Phạm vi Lốc xoáy"
