"Name","Disabled","CustomKey","Group","Location","Condition","Dependency","PermittedInput",ServerCommand,FinishRequirement,SkipCondition,FileName,PopupCorner,PopupExportName,BubbleExportName,TID,Sound,ForceSpellTile,DisableOtherSpells,SpellTileX,SpellTileY,SpellTileSearch,DisableSpells,HideCombatUI,DisableTroopMovement,DisableSpawnPoints,DisableOpponentSpells,PauseCombat,DisableAbility,Taunt,HightlightTargetSearch,DisableBattleStartScreen,StageTargetQuery,ForceOpenUI,SkipIfActiveOnLogin,OnStart
"String","Boolean","String","String","String","String","String","String",String,String,String,String,int,String,String,String,String,boolean,boolean,int,int,String,boolean,boolean,boolean,boolean,boolean,boolean,boolean,String,string,boolean,string,string,boolean,string
"CD_1_Delay","TRUE","CARD_DELIVERY_TEST_1",,"FirstMatch",,,,,skip,getTimeMS() > 5500,,,,,,,,,,,,,,,,,,,,,true,,,,
"CD_1_Speaks","TRUE","CARD_DELIVERY_TEST_1",,"FirstMatch",,,,,,,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,TID_CARD_DELIVERY_TEST_KING_SPEAKS_1,sound_tutorial_first_vo,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,true,,,,
,,,,,,,,,,,sc/tutorial.sc,4,tutorial_character1_left,bubble_tutorial_anim,TID_CARD_DELIVERY_TEST_KING_SPEAKS_2,,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LP_1_Delay",,"CARD_DELIVERY_LITTLE_PRINCE_1",,"TrainingCamp",,,,,skip,getTimeMS() > 7500,,,,,,,,,,,,TRUE,TRUE,,,,,TRUE,,,,,,,
"LP_1_King_Speaks1",,"CARD_DELIVERY_LITTLE_PRINCE_1",,"TrainingCamp",,"LP_1_Delay",,,,,sc/ui_giveaway_tutorial.sc,4,tutorial_giveaway_character_redking,bubble_tutorial_anim,TID_CARD_DELIVERY_LITTLE_PRINCE_KING_SPEAKS_1,,,,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,true,,,,
"LP_1_LP_Speaks1",,"CARD_DELIVERY_LITTLE_PRINCE_1",,"TrainingCamp",,"LP_1_King_Speaks1",,,,,sc/ui_giveaway_tutorial.sc,4,tutorial_giveaway_character_littleprince,bubble_tutorial_anim,TID_CARD_DELIVERY_LITTLE_PRINCE_SPEAKS_1,,,,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,,
"LP_1_LP_Deploy1",,"CARD_DELIVERY_LITTLE_PRINCE_1",,"TrainingCamp","timeFromLastStepMS() > 500","LP_1_LP_Speaks1","dragSpell:LittlePrince",,dragSpell:LittlePrince,,,,,,,,TRUE,TRUE,7,44,,,,TRUE,,,TRUE,TRUE,,,,,,,
"LP_1_Hide_UI2",,"CARD_DELIVERY_LITTLE_PRINCE_1",,"TrainingCamp",,"LP_1_LP_Deploy1",,,skip,timeFromLastStepMS() > 2500,,,,,,,,,,,,TRUE,TRUE,,,,,TRUE,,,,,,,
