"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_barbarian_arena.sc","barbarian_arena_bgr",
"Objects",,,
,"barbarian_red_sidestand_left",,
,,"x","y"
,,"int","int"
,,-2500,11500
,,-2500,4500
,"barbarian_red_sidestand_right",,
,,"x","y"
,,"int","int"
,,20500,12000
,,20500,4000
,"barbarian_blue_sidestand_left",,
,,"x","y"
,,"int","int"
,,-2500,20500
,,-2500,28500
,"barbarian_blue_sidestand_right",,
,,"x","y"
,,"int","int"
,,20500,20500
,,20500,28000
,"barbarian_tower1",,
,,"x","y"
,,"int","int"
,,1500,-3000
,,20500,7500
,"barbarian_tower2",,
,,"x","y"
,,"int","int"
,,16500,-2500
,"barbarian_red_barracks",,
,,"x","y"
,,"int","int"
,,9000,-4000
,"barbarian_blue_barracks",,
,,"x","y"
,,"int","int"
,,9000,37000
,"barbarian_blocktree",,
,,"x","y"
,,"int","int"
,,24000,6000
,,21000,24500
,,28000,30000
,,21000,
,,-9000,-4500
,,-4500,7500
,,-7500,34000
,,-3000,33000
,,-5500,2500
,,24500,40500
,,-6000,19000
,,-7000,14000
,,24000,31000
,,31000,29000
,,23500,22000
,,23500,14500
,,21500,-4000
,,-9000,17000
,,-10000,21000
,,26000,11500
,,-8500,8500
,,-8500,29500
,,31500,18500
,,30000,13500
,,-12500,27500
,,-2500,-10000
,,24000,-9500
,,27000,2000
,,29000,26000
,,27500,42500
,,-11500,43500
,,16000,-10500
,,-500,39000
,,-2000,45000
,,19500,44500
,,24000,44500
,,25500,38000
,,5500,45000
,,-4500,49500
,,2000,56000
,,7000,52500
,,15500,50000
,,20500,54000
,,27500,50500
,,21000,50000
,,25500,56000
,,14000,57000
,,-4500,58000
,,-11500,55500
,,-9500,51500
,,-1000,52500
,"barbarian_barrell",,
,,"x","y"
,,"int","int"
,,-2864,15831
,"barbarian_fence1",,
,,"x","y"
,,"int","int"
,,1500,33500
,,16000,33500
,,1500,-1000
,,16500,-1000
,,9000,34000
,,9000,-1500
,"barbarian_bush1x",,
,,"x","y"
,,"int","int"
,,3500,40000
,,-4500,34500
,,24000,17500
,,-3500,-5500
,,11000,-7000
,,29000,18000
,,28000,35000
,,-10000,1000
,,4000,-9000
,,7000,-7000
,,-7500,-8000
,,27500,20000
,,20500,38000
,,-8500,44500
,,500,44500
,,1000,49500
,,9000,57000
,,16000,53500
,,25000,51500
,,28500,46000
,,-7500,47500
,,1500,48500
,,8500,45500
,,11500,49500
,"barbarian_mushrooms",,
,,"x","y"
,,"int","int"
,,29000,22000
,,500,-8000
,,15000,42000
,,22500,33000
,,4000,36000
,,7000,40500
,,23500,-2500
,,-2000,36000
,,24500,48000
,,18000,-11000
,,25500,-6000
,,-11000,8500
,,-10500,-10000
,,28000,6500
,,-10500,33500
,,2500,-11500
,,30000,32000
,,3000,53000
,,6500,46500
,,-5500,45000
,,26500,31000
,,-7500,-2500
,"barbarian_tower3",,
,,"x","y"
,,"int","int"
,,16500,35000
,,-2500,24000
,"barbarian_tower4",,
,,"x","y"
,,"int","int"
,,1500,35000
,"barbarian_deco1",,
,,"x","y"
,,"int","int"
,,432,14750
,,17500,17416
,"barbarian_deco2",,
,,"x","y"
,,"int","int"
,,500,17375
,,17500,14666
,,-3000,39000
,"training_cliff4",,
,,"x","y"
,,"int","int"
,,19500,34500
,,-2500,-2000
,,3500,44000
,"training_cliff7",,
,,"x","y"
,,"int","int"
,,-4500,-2500
,,26000,18000
,"training_deco1",,
,,"x","y"
,,"int","int"
,,-6500,7500
,,-11000,13500
,,25500,25500
,,2000,46000
,"training_deco2",,
,,"x","y"
,,"int","int"
,,20000,-10500
,,29000,3500
,"training_tree1",,
,,"x","y"
,,"int","int"
,,21500,42000
,"training_tree2",,
,,"x","y"
,,"int","int"
,,26500,45500
,,29000,37000
,,-8000,5000
,,25500,-1000
,,12000,45500
,,-5500,38500
,"training_tree3",,
,,"x","y"
,,"int","int"
,,-9000,41500
,,14500,-6500
,,-6500,24500
,,15000,40500
,"barbarian_2v2_base_01",,
,,"x","y"
,,"int","int"
,,9000,
,"foldableLeftFrame",,
,,"x","y"
,,"int","int"
,,-44500,-50500
,"foldableRightFrame",,
,,"x","y"
,,"int","int"
,,61500,-51000
,"foldableTopFrame",,
,,"x","y"
,,"int","int"
,,8500,-90500
,"foldableBotFrame",,
,,"x","y"
,,"int","int"
,,16500,55000
"Background",,,
