"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_chess_arena.sc","chess_season_base_01",
"Objects",,,
,"chess_arena_boar",,
,,"x","y"
,,"int","int"
,,-4000,4500
,"chess_arena_goblin_black",,
,,"x","y"
,,"int","int"
,,19000,16500
,"chess_arena_goblin_fallen",,
,,"x","y"
,,"int","int"
,,-4000,2000
,"chess_arena_goblin_white",,
,,"x","y"
,,"int","int"
,,-3500,16500
,"chess_arena_king",,
,,"x","y"
,,"int","int"
,,2900,-6916
,"chess_arena_queen",,
,,"x","y"
,,"int","int"
,,12698,-6250
,"chess_arena_tower",,
,,"x","y"
,,"int","int"
,,18767,6041
,"chess_arena_wizard_black",,
,,"x","y"
,,"int","int"
,,20500,-7500
,"chess_arena_wizard_white",,
,,"x","y"
,,"int","int"
,,-7000,13000
,"ranked_arena_firepit_stairs",,
,,"x","y"
,,"int","int"
,,733,-1625
,,17500,-1500
,,20500,16000
,,-2500,16000
,,4934,38041
,,13234,38041
,"ranked_arena_king",,
,,"x","y"
,,"int","int"
,,9000,-8416
,"ranked_arena_wall_back_window_right",,
,,"x","y"
,,"int","int"
,,7500,-17500
,"ranked_arena_wall",,
,,"x","y"
,,"int","int"
,,9167,5583
"Background",,,
