"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_chess_arena.sc","chess_season_base_2x2",
"Objects",,,
,"chess_arena_boar",,
,,"x","y"
,,"int","int"
,,-4000,4500
,"chess_arena_goblin_black",,
,,"x","y"
,,"int","int"
,,19000,16500
,"chess_arena_goblin_fallen",,
,,"x","y"
,,"int","int"
,,-4000,2000
,"chess_arena_goblin_white",,
,,"x","y"
,,"int","int"
,,-3500,16500
,"chess_arena_king",,
,,"x","y"
,,"int","int"
,,3000,-7000
,"chess_arena_queen",,
,,"x","y"
,,"int","int"
,,12500,-6500
,"chess_arena_tower",,
,,"x","y"
,,"int","int"
,,18500,6500
,"chess_arena_wizard_black",,
,,"x","y"
,,"int","int"
,,20500,-7500
,"chess_arena_wizard_white",,
,,"x","y"
,,"int","int"
,,-7000,13000
,"ranked_arena_firepit_stairs",,
,,"x","y"
,,"int","int"
,,769,-1525
,,17500,-1500
,,20500,16000
,,-2500,16000
,,4933,38111
,,13178,38056
,"ranked_arena_king",,
,,"x","y"
,,"int","int"
,,9039,-8628
,"ranked_arena_wall_back_window_right",,
,,"x","y"
,,"int","int"
,,7500,-17500
,"ranked_arena_wall",,
,,"x","y"
,,"int","int"
,,9154,5500
"Background",,,
