"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_chess_arena.sc","chess_base_challenge",
"Objects",,,
,"chess_arena_boar",,
,,"x","y"
,,"int","int"
,,-4000,4500
,"chess_arena_goblin_black",,
,,"x","y"
,,"int","int"
,,19163,16648
,"chess_arena_goblin_fallen",,
,,"x","y"
,,"int","int"
,,-4000,2000
,"chess_arena_goblin_white",,
,,"x","y"
,,"int","int"
,,-3241,16732
,"chess_arena_king",,
,,"x","y"
,,"int","int"
,,3000,-7000
,"chess_arena_queen",,
,,"x","y"
,,"int","int"
,,13000,-7000
,"chess_arena_tower",,
,,"x","y"
,,"int","int"
,,18500,6500
,"chess_arena_wizard_black",,
,,"x","y"
,,"int","int"
,,20500,-7500
,"chess_arena_wizard_white",,
,,"x","y"
,,"int","int"
,,-7000,13000
,"ranked_arena_firepit_stairs",,
,,"x","y"
,,"int","int"
,,1500,-1500
,,17500,-1500
,,20352,16556
,,-2278,16508
,,4911,38000
,,13233,38083
,"ranked_arena_king",,
,,"x","y"
,,"int","int"
,,9500,-8500
,"ranked_arena_wall_back_window_right",,
,,"x","y"
,,"int","int"
,,7500,-17500
,"ranked_arena_wall",,
,,"x","y"
,,"int","int"
,,9500,5500
"Background",,,
