"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_clash_o_ween.sc","clashoween_base_01",
"Objects",,,
,"9000",,
,"clashoween_stands_blue_02",,
,,"x","y"
,,"int","int"
,,-5500,
,,25500,49500
,"clashoween_witc's_house",,
,,"x","y"
,,"int","int"
,,18500,-6500
,"clashoween_tree_1",,
,,"x","y"
,,"int","int"
,,26500,12500
,,14500,29000
,,17500,26000
,,19500,-15500
,,9500,36000
,,4000,-13500
,,6500,-8500
,,21500,30000
,,14000,37500
,,5500,37000
,,-1500,32500
,,1500,39000
,,-12000,32500
,"clashoween_tree_church01",,
,,"x","y"
,,"int","int"
,,28500,19000
,,18500,37500
,,15000,-10500
,,-6000,30000
,,-17500,7000
,,-12500,37000
,,7500,39000
,,22500,36000
,"clashoween_tree_church02",,
,,"x","y"
,,"int","int"
,,26500,19500
,,28500,16000
,,29000,10500
,,30000,13500
,,500,36000
,,25500,31000
,,9000,-11000
,,10000,-8000
,,13000,-10000
,,18500,-15500
,,28500,-8000
,,-17500,25500
,,-8500,36000
,,-3000,39000
,,6500,32500
,,22000,35000
,,-5000,36000
,,-14000,36500
,,-17000,32000
,,-17000,19500
,,26500,35000
,,28000,30000
,,11000,-14000
,,2000,-8500
,"clashoween_barrel_01",,
,,"x","y"
,,"int","int"
,,-4500,30000
,,-1000,-2500
,,24500,-10500
,"clashoween_book",,
,,"x","y"
,,"int","int"
,,24500,19500
,"clashoween_building_red_02",,
,,"x","y"
,,"int","int"
,,-4500,8500
,"clashoween_building_red_03",,
,,"x","y"
,,"int","int"
,,-1500,-8000
,,-11500,30000
,"clashoween_fence_01",,
,,"x","y"
,,"int","int"
,,0,31000
,"clashoween_tree_2",,
,,"x","y"
,,"int","int"
,,12500,33500
,,12500,-7000
,,5500,31500
,,-1500,32000
,,0,-5000
,,6000,-8500
,,14000,-12500
,,4500,-5500
,,9500,-4000
,,25500,22000
,,29500,41000
,,21000,37000
,,-6000,36000
,,-8000,32500
,,-15500,35500
,,-16000,23500
,,-14500,20000
,,-3000,1500
,,-16000,-4500
,,10000,35500
,,3000,36000
,,-3500,39000
,"clashoween_tower_blue_01",,
,,"x","y"
,,"int","int"
,,-1500,20000
,,-14000,3000
,"clashoween_bat",,
,,"x","y"
,,"int","int"
,,19500,19500
,,25500,14000
,"clashoween_candle_simple",,
,,"x","y"
,,"int","int"
,,22000,22500
,,24500,32000
,"jungle_firefly_02",,
,,"x","y"
,,"int","int"
,,19000,19500
,"jungle_firefly_03",,
,,"x","y"
,,"int","int"
,,29000,5000
,,23500,21000
,,18500,26500
,"clashfest_fire",,
,,"x","y"
,,"int","int"
,,8500,21500
,"clashoween_building_blue_02",,
,,"x","y"
,,"int","int"
,,-5000,23000
,"clashoween_building_red_01",,
,,"x","y"
,,"int","int"
,,-11000,-5000
,,18500,37000
,"clashoween_candle_small",,
,,"x","y"
,,"int","int"
,,-2000,13000
,,2000,-2000
,,14000,31500
,,30500,-3500
,,-10500,-2500
,"clashoween_cauldron",,
,,"x","y"
,,"int","int"
,,21500,18000
,"clashoween_fence_round",,
,,"x","y"
,,"int","int"
,,13500,29000
,"clashoween_pumpkin_duo_candle",,
,,"x","y"
,,"int","int"
,,12000,-4500
,,-3500,24500
,"clashoween_pumpkin_face",,
,,"x","y"
,,"int","int"
,,3000,-4000
,,25000,33500
,"clashoween_pumpkin_rotate_shade",,
,,"x","y"
,,"int","int"
,,-3000,28500
,,-14500,34000
,"clashoween_pumpkin_straight",,
,,"x","y"
,,"int","int"
,,11000,-5500
,,-9500,11000
,"clashoween_tower_red_01",,
,,"x","y"
,,"int","int"
,,2500,-12000
,,15500,-5500
,"clashoween_bottle_purple",,
,,"x","y"
,,"int","int"
,,19000,18500
,,2500,-500
,"clashoween_candle_leaking",,
,,"x","y"
,,"int","int"
,,-1500,13000
,"clashoween_pumpkin_face_candle",,
,,"x","y"
,,"int","int"
,,10500,30500
,"clashoween_pumpkin_pack",,
,,"x","y"
,,"int","int"
,,2500,31500
,,26000,-7000
,"clashoween_stands_red_01",,
,,"x","y"
,,"int","int"
,,-13000,17500
,"forbidden_light_glow1",,
,,"x","y"
,,"int","int"
,,22500,23500
,"forbidden_light_glow2",,
,,"x","y"
,,"int","int"
,,2000,-1000
,,30500,-2500
,"purpleGlowAnim",,
,,"x","y"
,,"int","int"
,,8500,15000
,,-3000,14500
,,14500,15500
,"halloween_spider_web_01",,
,,"x","y"
,,"int","int"
,,-11000,-1000
,"halloween_spider_web_03",,
,,"x","y"
,,"int","int"
,,-5500,28500
,"halloween_vignette_01",,
,,"x","y"
,,"int","int"
,,8500,
,"foldableBotFrame",,
,,"x","y"
,,"int","int"
,,8500,43500
,"foldableLeftFrame",,
,,"x","y"
,,"int","int"
,,-46500,-79500
,,-46500,27000
,"foldableRightFrame",,
,,"x","y"
,,"int","int"
,,63500,-88500
,,63500,9000
,"foldableTopFrame",,
,,"x","y"
,,"int","int"
,,6000,-89000
"Background",,,
