"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_dragon_arena_dl.sc","dragon_base_01",
"Objects",,,
,"9000",,
,"dragon_stallagmite_01",,
,,"x","y"
,,"int","int"
,,13000,41371
,"dragon_stallagmite_03",,
,,"x","y"
,,"int","int"
,,-6000,38000
,"dragon_stallagmite_02",,
,,"x","y"
,,"int","int"
,,13750,-10896
,"dragon_stallagmite_04",,
,,"x","y"
,,"int","int"
,,26000,-6000
,,-6500,-13000
,"foldableRightFrame",,
,,"x","y"
,,"int","int"
,,66500,-52000
,"foldableTopFrame",,
,,"x","y"
,,"int","int"
,,7500,-93500
,"foldableLeftFrame",,
,,"x","y"
,,"int","int"
,,-48500,-46000
,"foldableBotFrame",,
,,"x","y"
,,"int","int"
,,10000,44000
,"pancake_Vignette",,
,,"x","y"
,,"int","int"
,,-4000,7000
"Background",,,
