"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_littleprince_tavern_dl.sc","little_prince_base_2v2",
"Objects",,,
,"little_prince_arena_desk",,
,,"x","y"
,,"int","int"
,,2209,37709
,"little_prince_arena_table",,
,,"x","y"
,,"int","int"
,,15000,32500
,"little_prince_arena_table_compo",,
,,"x","y"
,,"int","int"
,,0,32000
,"little_prince_arena_axe",,
,,"x","y"
,,"int","int"
,,19500,23000
,"little_prince_arena_barrel_duo_elixir",,
,,"x","y"
,,"int","int"
,,-2000,11000
,"little_prince_arena_barrel_elixir",,
,,"x","y"
,,"int","int"
,,17000,-4000
,,18709,20792
,"little_prince_arena_barrel_light",,
,,"x","y"
,,"int","int"
,,4083,-4833
,"little_prince_arena_barrel_weapon",,
,,"x","y"
,,"int","int"
,,12500,-5208
,"little_prince_arena_big_cup",,
,,"x","y"
,,"int","int"
,,15500,-2000
,,11000,35000
,"little_prince_arena_coins",,
,,"x","y"
,,"int","int"
,,18000,-1500
,"little_prince_arena_elixir_broken_glass",,
,,"x","y"
,,"int","int"
,,18500,6500
,"little_prince_arena_leaking",,
,,"x","y"
,,"int","int"
,,19833,24552
,"little_prince_arena_shield",,
,,"x","y"
,,"int","int"
,,4291,-3520
,"little_prince_arena_spear",,
,,"x","y"
,,"int","int"
,,13916,-5177
,"little_prince_arena_window_back",,
,,"x","y"
,,"int","int"
,,3458,-10406
,,12166,-10302
,"little_prince_arena_window_middle",,
,,"x","y"
,,"int","int"
,,-6750,1104
,,-6791,12979
,,-6833,25104
,"little_prince_arena_sword",,
,,"x","y"
,,"int","int"
,,19000,32000
,"little_prince_arena_flag",,
,,"x","y"
,,"int","int"
,,3916,-7906
,,12583,-7906
,"little_prince_arena_stool",,
,,"x","y"
,,"int","int"
,,13500,34500
,,19000,35000
,,10000,36500
,,18500,-1000
,,5000,37000
,,1000,37500
,,16000,37000
,"little_prince_arena_stool_bar",,
,,"x","y"
,,"int","int"
,,19000,40000
,"little_prince_arena_stool_candle",,
,,"x","y"
,,"int","int"
,,4500,35000
,,19000,25500
,,19000,37000
,,1000,-1500
,"little_prince_arena_shield_right",,
,,"x","y"
,,"int","int"
,,22000,31500
,"little_prince_arena_2_cups",,
,,"x","y"
,,"int","int"
,,-1500,36000
,"little_prince_arena_cup_fallen",,
,,"x","y"
,,"int","int"
,,6000,34000
,,19000,-2000
,"little_prince_arena_bottle",,
,,"x","y"
,,"int","int"
,,13500,38500
,,5000,41000
,,-5000,
,"little_prince_arena_big_table",,
,,"x","y"
,,"int","int"
,,7000,34500
,"foldableBotFrame",,
,,"x","y"
,,"int","int"
,,3500,40000
,"tomb_vfx_lightpool_01",,
,,"x","y"
,,"int","int"
,,5500,-6500
,,13500,-7500
,"forbidden_light_glow2",,
,,"x","y"
,,"int","int"
,,21500,30500
,,-6000,21500
,,1000,-6500
,"forbidden_light_glow1",,
,,"x","y"
,,"int","int"
,,21000,6000
,,-6000,8500
,,16500,-6500
,,20500,
"Background",,,
